Block Size (KB),Throughput (MiB/s),Time (ms),
4,281.641,3010,
4,281.641,3020,
4,280.859,3030,
4,280.469,3040,
4,281.25,3050,
4,281.25,3060,
4,280.469,3070,
4,281.25,3080,
4,279.297,3091,
4,281.25,3100,
4,282.031,3110,
4,280.469,3120,
4,280.859,3130,
4,281.25,3140,
4,280.859,3150,
4,280.859,3160,
4,281.25,3170,
4,278.125,3180,
4,280.859,3190,
4,281.641,3200,
4,281.641,3210,
4,280.469,3220,
4,280.469,3230,
4,280.859,3240,
4,280.078,3250,
4,281.25,3260,
4,280.859,3270,
4,279.297,3281,
4,281.25,3290,
4,281.25,3300,
4,281.641,3310,
4,280.859,3320,
4,280.469,3330,
4,280.469,3340,
4,279.688,3350,
4,280.469,3360,
4,281.25,3370,
4,281.25,3380,
4,281.641,3390,
4,282.031,3400,
4,277.734,3410,
4,280.469,3420,
4,278.125,3430,
4,279.297,3440,
4,281.641,3450,
4,281.25,3460,
4,281.641,3470,
4,281.25,3481,
4,281.684,3490,
4,274.609,3500,
4,270.312,3510,
4,276.172,3520,
4,277.344,3530,
4,278.906,3540,
4,280.469,3550,
4,280.859,3560,
4,280.469,3570,
4,281.25,3580,
4,280.859,3590,
4,281.25,3600,
4,280.859,3610,
4,281.25,3620,
4,280.078,3630,
4,281.641,3640,
4,283.203,3650,
4,281.641,3660,
4,281.25,3671,
4,280.859,3681,
4,282.117,3690,
4,281.25,3700,
4,281.25,3710,
4,280.859,3720,
4,281.25,3730,
4,278.125,3740,
4,282.422,3750,
4,271.484,3760,
4,275.781,3770,
4,278.906,3780,
4,281.25,3790,
4,282.031,3800,
4,281.641,3810,
4,280.078,3820,
4,282.812,3830,
4,281.641,3840,
4,282.031,3850,
4,281.25,3860,
4,280.469,3870,
4,279.297,3881,
4,279.514,3890,
4,278.516,3900,
4,280.469,3910,
4,280.859,3920,
4,279.297,3930,
4,282.031,3940,
4,282.031,3950,
4,280.469,3960,
4,280.078,3970,
4,281.25,3980,
4,281.25,3990,
4,280.859,4000,
4,281.641,4010,
4,281.25,4020,
4,280.859,4030,
4,278.906,4040,
4,281.641,4050,
4,281.25,4061,
4,279.514,4070,
4,281.25,4080,
4,280.859,4090,
4,275.391,4100,
4,271.094,4110,
4,277.344,4120,
4,281.641,4130,
4,276.172,4140,
4,283.984,4150,
4,280.469,4160,
4,278.906,4170,
4,279.297,4180,
4,280.859,4190,
4,281.25,4200,
4,282.031,4210,
4,280.859,4220,
4,282.422,4230,
4,280.469,4240,
4,279.297,4250,
4,282.031,4261,
4,279.947,4270,
4,278.906,4280,
4,280.078,4290,
4,281.641,4300,
4,280.859,4310,
4,282.031,4320,
4,279.297,4330,
4,281.641,4340,
4,281.641,4350,
4,280.859,4360,
4,280.859,4370,
4,280.078,4380,
4,280.078,4390,
4,282.812,4400,
4,281.641,4410,
4,272.266,4420,
4,277.734,4430,
4,279.297,4440,
4,278.906,4451,
4,280.815,4460,
4,282.031,4470,
4,280.859,4480,
4,281.25,4490,
4,280.078,4500,
