Block Size (KB),Throughput (MiB/s),Time (ms),
4,277.883,318000,
4,277.488,319000,
4,277.496,320000,
4,277.41,321001,
4,277.335,322000,
4,277.457,323001,
4,277.543,324000,
4,277.773,325000,
4,277.5,326000,
4,277.848,327000,
4,277.594,328000,
4,277.684,329000,
4,278.16,330000,
4,277.898,331000,
4,277.73,332000,
4,277.93,333000,
4,278.047,334000,
4,277.777,335000,
4,278.406,336000,
4,278.403,337000,
4,277.934,338000,
4,277.855,339000,
4,277.32,340000,
4,265.046,341000,
4,261.43,342000,
4,277.292,343000,
4,277.992,344000,
4,278.262,345000,
4,278.266,346000,
4,277.883,347000,
4,277.633,348000,
4,277.194,349000,
4,277.637,350000,
4,278.109,351000,
4,278.137,352000,
4,277.261,353000,
4,277.91,354000,
4,271.07,355000,
4,277.582,356000,
4,277.34,357000,
4,277.879,358000,
4,277.926,359000,
4,278.023,360000,
4,277.84,361000,
4,278.121,362000,
4,278.125,363000,
4,278.16,364000,
4,278.004,365000,
4,278.238,366001,
4,278.043,367000,
4,278.383,368000,
4,278.086,369000,
4,278.105,370000,
4,277.758,371000,
4,278.223,372000,
4,261.535,373000,
4,260.827,374000,
4,276.262,375000,
4,276.554,376000,
4,276.672,377000,
4,277.183,378000,
4,275.879,379000,
4,276.104,380000,
4,277.996,381000,
4,278.117,382001,
4,277.766,383000,
4,277.719,384000,
4,277.598,385000,
4,278.133,386000,
4,277.762,387000,
4,277.473,388000,
4,277.492,389000,
4,277.945,390000,
4,277.477,391000,
4,278.141,392000,
4,277.953,393000,
4,277.508,394000,
4,277.871,395000,
4,278.266,396000,
4,278.168,397000,
4,278.516,398000,
4,277.992,399000,
4,278.133,400000,
4,278.418,401000,
4,278.125,402000,
4,278.117,403000,
4,278.364,404000,
4,274.551,405000,
4,274.883,406001,
4,276.679,407000,
4,278.125,408001,
4,278.195,409000,
4,278.234,410000,
4,278.047,411000,
4,278.488,412000,
4,275.717,413000,
4,279.285,414000,
4,279.009,415000,
4,279.051,416000,
4,276.554,417000,
4,278.141,418000,
4,277.859,419000,
4,278.188,420000,
4,278.027,421001,
4,278.712,422000,
4,277.879,423000,
4,278.297,424000,
4,278.242,425000,
4,278.411,426000,
4,277.832,427000,
4,278.004,428000,
4,277.934,429000,
4,277.938,430000,
4,278.398,431000,
4,278.509,432000,
4,277.727,433000,
