Block Size (KB),Throughput (MiB/s),Time (ms),
4096,3040,15650,
4096,2960,15700,
4096,3120,15750,
4096,3040,15800,
4096,3120,15850,
4096,3040,15900,
4096,3120,15950,
4096,3040,16000,
4096,3102.04,16050,
4096,3120,16100,
4096,3200,16150,
4096,3120,16200,
4096,3120,16250,
4096,3120,16300,
4096,3200,16350,
4096,3120,16400,
4096,3120,16450,
4096,3200,16500,
4096,3120,16550,
4096,3120,16600,
4096,3120,16650,
4096,3120,16700,
4096,3200,16750,
4096,3120,16800,
4096,3120,16851,
4096,3102.04,16900,
4096,3120,16950,
4096,3120,17000,
4096,3040,17050,
4096,3040,17100,
4096,2960,17150,
4096,3040,17200,
4096,3040,17250,
4096,3040,17300,
4096,3040,17350,
4096,3040,17400,
4096,3040,17450,
4096,3120,17500,
4096,3120,17550,
4096,3040,17600,
4096,3120,17650,
4096,3120,17700,
4096,3040,17750,
4096,3102.04,17800,
4096,2960,17850,
4096,2960,17900,
4096,2960,17950,
4096,3040,18000,
4096,2960,18050,
4096,2960,18100,
4096,2960,18150,
4096,3040,18200,
4096,3040,18250,
4096,3040,18300,
4096,3040,18350,
4096,3040,18400,
4096,3040,18450,
4096,3040,18500,
4096,3020.41,18550,
4096,3040,18600,
4096,2960,18650,
4096,3040,18700,
4096,2960,18750,
4096,3040,18800,
4096,2960,18850,
4096,2960,18900,
4096,3040,18950,
4096,3120,19000,
4096,3020.41,19050,
4096,3040,19100,
4096,3040,19150,
4096,3040,19200,
4096,3040,19250,
4096,3040,19300,
4096,3120,19350,
4096,3120,19400,
4096,3120,19450,
4096,3040,19500,
4096,3120,19551,
4096,3102.04,19600,
4096,3120,19650,
4096,3120,19700,
4096,3040,19750,
4096,2960,19800,
4096,3040,19850,
4096,3040,19900,
4096,3040,19950,
4096,3040,20000,
4096,3020.41,20050,
4096,3040,20100,
4096,3040,20150,
4096,3120,20200,
4096,3040,20250,
4096,3040,20300,
4096,3040,20350,
4096,3120,20400,
4096,3040,20451,
4096,3020.41,20500,
4096,3040,20550,
4096,3040,20600,
4096,3040,20650,
4096,3040,20700,
4096,3040,20750,
4096,3020.41,20800,
4096,3040,20850,
4096,3040,20900,
4096,3040,20950,
4096,3040,21000,
4096,3040,21050,
4096,3120,21100,
4096,3120,21150,
4096,3200,21200,
4096,3120,21250,
4096,3200,21301,
4096,3183.67,21350,
4096,3120,21400,
4096,3200,21450,
4096,3120,21500,
4096,3200,21550,
4096,3120,21600,
4096,3120,21650,
4096,3200,21700,
4096,3120,21750,
4096,3120,21800,
4096,3120,21850,
4096,3120,21901,
4096,3102.04,21950,
4096,3120,22000,
4096,3120,22050,
4096,3040,22100,
4096,3120,22150,
4096,3040,22200,
4096,3120,22250,
4096,3120,22300,
4096,3120,22350,
4096,3040,22400,
4096,2960,22450,
4096,3040,22501,
4096,2938.78,22550,
4096,3040,22600,
4096,2960,22650,
4096,3040,22700,
4096,3040,22750,
4096,3040,22801,
4096,3020.41,22850,
4096,3040,22900,
4096,3040,22950,
4096,3120,23000,
4096,3040,23050,
4096,3120,23100,
4096,3120,23150,
4096,2880,23200,
4096,2960,23250,
4096,3040,23301,
4096,3020.41,23350,
4096,3040,23400,
4096,3040,23450,
4096,3040,23500,
4096,3040,23550,
4096,3040,23600,
4096,3040,23650,
4096,3040,23700,
4096,3040,23750,
4096,2938.78,23800,
4096,3040,23850,
4096,2960,23900,
4096,3040,23950,
4096,2960,24000,
4096,2960,24050,
4096,3040,24100,
4096,3040,24150,
4096,2960,24200,
4096,3040,24250,
4096,3040,24301,
4096,3102.04,24350,
4096,3040,24400,
4096,3040,24450,
4096,3040,24500,
4096,3040,24550,
4096,3040,24600,
4096,3040,24650,
4096,3040,24700,
4096,2960,24750,
4096,3020.41,24800,
4096,2960,24850,
4096,3040,24900,
4096,2960,24950,
4096,3040,25000,
4096,3040,25050,
4096,3040,25101,
4096,3020.41,25150,
4096,2960,25200,
4096,3040,25250,
4096,3040,25300,
4096,3040,25350,
4096,3040,25400,
4096,3040,25450,
4096,3040,25500,
4096,3102.04,25550,
4096,3040,25600,
4096,3040,25650,
4096,3040,25700,
