Block Size (KB),Throughput (MiB/s),Time (ms),
4096,1490.98,146500,
4096,1552,147000,
4096,1504,147500,
4096,1458.92,148000,
4096,1536,148500,
4096,1520,149000,
4096,1482.97,149500,
4096,1528,150000,
4096,1523.05,150500,
4096,1496,151000,
4096,1499,151500,
4096,1536,152000,
4096,1474.95,152500,
4096,1499,153000,
4096,1536,153500,
4096,1480,154001,
4096,1507.01,154500,
4096,1539.08,155000,
4096,1496,155500,
4096,1499,156000,
4096,1544,156500,
4096,1515.03,157000,
4096,1496,157500,
4096,1552,158000,
4096,1523.05,158500,
4096,1456,159000,
4096,1523.05,159500,
4096,1528,160000,
4096,1474.95,160500,
4096,1528,161000,
4096,1523.05,161500,
4096,1480,162000,
4096,1507.01,162500,
4096,1536,163000,
4096,1482.97,163500,
4096,1488,164000,
4096,1539.08,164500,
4096,1496,165000,
4096,1496,165501,
4096,1531.06,166000,
4096,1496,166501,
4096,1482.97,167000,
4096,1536,167501,
4096,1507.01,168000,
4096,1496,168500,
4096,1539.08,169000,
4096,1536,169500,
4096,1456,170000,
4096,1515.03,170500,
4096,1520,171000,
4096,1482.97,171500,
4096,1496,172000,
4096,1536,172501,
4096,1466.93,173000,
4096,1490.98,173500,
4096,1536,174000,
4096,1482.97,174500,
4096,1488,175001,
4096,1539.08,175500,
4096,1496,176001,
4096,1490.98,176500,
4096,1528,177000,
4096,1499,177500,
4096,1488,178000,
4096,1531.06,178500,
4096,1496,179001,
4096,1499,179500,
4096,1539.08,180000,
4096,1528,180500,
4096,1474.95,181000,
4096,1528,181500,
4096,1520,182001,
4096,1482.97,182500,
4096,1520,183001,
4096,1531.06,183500,
4096,1480,184000,
4096,1515.03,184500,
4096,1536,185000,
4096,1466.93,185500,
4096,1488,186000,
4096,1539.08,186500,
4096,1496,187000,
4096,1499,187500,
4096,1536,188000,
4096,1512,188500,
4096,1482.97,189000,
4096,1531.06,189500,
4096,1504,190000,
4096,1482.97,190500,
4096,1536,191000,
4096,1523.05,191500,
4096,1472,192000,
4096,1523.05,192500,
4096,1528,193000,
4096,1458.92,193500,
4096,1528,194000,
4096,1515.03,194500,
4096,1456,195000,
4096,1515.03,195500,
4096,1536,196000,
4096,1499,196500,
4096,1504,197000,
4096,1539.08,197500,
4096,1496,198000,
4096,1490.98,198500,
4096,1544,199000,
4096,1515.03,199500,
4096,1464,200000,
4096,1539.08,200500,
4096,1528,201000,
4096,1450.9,201500,
