Block Size (KB),Throughput (MiB/s),Time (ms),
4096,3360,15750,
4096,3280,15801,
4096,3346.94,15850,
4096,3200,15900,
4096,3120,15950,
4096,3200,16000,
4096,3200,16050,
4096,3120,16100,
4096,3360,16150,
4096,3120,16200,
4096,3200,16250,
4096,3120,16300,
4096,3200,16350,
4096,3200,16401,
4096,3183.67,16450,
4096,3200,16500,
4096,3200,16550,
4096,3200,16600,
4096,3200,16650,
4096,3200,16700,
4096,3200,16750,
4096,3200,16800,
4096,3200,16850,
4096,3102.04,16900,
4096,3280,16950,
4096,3200,17000,
4096,3280,17050,
4096,3120,17100,
4096,3280,17150,
4096,3200,17200,
4096,3200,17250,
4096,3200,17300,
4096,3280,17350,
4096,3183.67,17400,
4096,3200,17450,
4096,3200,17500,
4096,3200,17550,
4096,3200,17600,
4096,3200,17650,
4096,3200,17701,
4096,3102.04,17750,
4096,3200,17800,
4096,3200,17850,
4096,3280,17900,
4096,3120,17950,
4096,3280,18000,
4096,3200,18050,
4096,3120,18100,
4096,3200,18151,
4096,3265.31,18200,
4096,3200,18250,
4096,3200,18300,
4096,3200,18350,
4096,3200,18400,
4096,3200,18450,
4096,3280,18500,
4096,3200,18550,
4096,3280,18600,
4096,3183.67,18650,
4096,3280,18700,
4096,3120,18750,
4096,3200,18800,
4096,3200,18850,
4096,3040,18900,
4096,3280,18950,
4096,3120,19000,
4096,3280,19051,
4096,3183.67,19100,
4096,3040,19150,
4096,3280,19200,
4096,3200,19250,
4096,3200,19300,
4096,3120,19350,
4096,3280,19401,
4096,3183.67,19450,
4096,3280,19500,
4096,3360,19550,
4096,3280,19600,
4096,3360,19650,
4096,3360,19700,
4096,3280,19750,
4096,3360,19800,
4096,3280,19850,
4096,3346.94,19900,
4096,3280,19950,
4096,3120,20000,
4096,3040,20050,
4096,3200,20100,
4096,3200,20150,
4096,3200,20200,
4096,3120,20250,
4096,3200,20301,
4096,3102.04,20350,
4096,3200,20400,
4096,3120,20450,
4096,3280,20500,
4096,3200,20550,
4096,3120,20600,
4096,3280,20651,
4096,3183.67,20700,
4096,3200,20750,
4096,3280,20800,
4096,3200,20850,
4096,3040,20900,
4096,3280,20950,
4096,3120,21000,
4096,3200,21050,
4096,3200,21100,
4096,3200,21151,
4096,3183.67,21200,
4096,3200,21250,
4096,3200,21300,
4096,3200,21350,
4096,3200,21400,
4096,3120,21450,
4096,3200,21500,
4096,3200,21550,
4096,3200,21600,
4096,3183.67,21650,
4096,3200,21700,
4096,3200,21750,
4096,3200,21800,
4096,3120,21850,
4096,3040,21900,
4096,3200,21951,
4096,3265.31,22000,
4096,3280,22050,
4096,3200,22100,
4096,3200,22150,
4096,3200,22200,
4096,3200,22250,
4096,3120,22300,
4096,3200,22350,
4096,3346.94,22400,
4096,3280,22450,
4096,3360,22500,
4096,3360,22550,
4096,3280,22600,
4096,3200,22651,
4096,3102.04,22700,
4096,3120,22750,
4096,3280,22800,
4096,3200,22850,
4096,3200,22900,
4096,3280,22950,
4096,3200,23001,
4096,3102.04,23050,
4096,3280,23100,
4096,3280,23150,
4096,3280,23200,
4096,3200,23250,
4096,3360,23300,
4096,3280,23350,
4096,3360,23400,
4096,3280,23450,
4096,3360,23501,
4096,3265.31,23550,
4096,3360,23600,
4096,3280,23650,
4096,3360,23700,
4096,3360,23750,
4096,3280,23800,
4096,3280,23850,
4096,3360,23900,
4096,3280,23950,
4096,3280,24000,
4096,3200,24051,
4096,3346.94,24100,
4096,3280,24150,
4096,3360,24200,
4096,3280,24250,
4096,3360,24300,
4096,3360,24350,
4096,3280,24400,
4096,3360,24450,
4096,3280,24500,
4096,3360,24551,
4096,3346.94,24600,
4096,3200,24650,
4096,3040,24700,
4096,3280,24750,
4096,2960,24800,
4096,3280,24850,
4096,3120,24900,
4096,3280,24951,
4096,3265.31,25000,
4096,3440,25050,
4096,3360,25100,
4096,3520,25150,
4096,3360,25200,
4096,3440,25250,
4096,3440,25300,
4096,3360,25350,
4096,3360,25400,
4096,3360,25450,
4096,3360,25500,
4096,3360,25551,
4096,3265.31,25600,
4096,3200,25650,
4096,3280,25700,
4096,3600,25750,
4096,3360,25800,
4096,3280,25850,
4096,3280,25900,
4096,3200,25950,
4096,3120,26000,
4096,3280,26050,
4096,3120,26101,
4096,3265.31,26150,
4096,3280,26200,
4096,3200,26250,
4096,3200,26300,
4096,3040,26350,
4096,3040,26400,
4096,3360,26450,
4096,3280,26500,
4096,3120,26551,
4096,3265.31,26600,
4096,3200,26650,
4096,3200,26700,
4096,3200,26750,
4096,3280,26800,
4096,3120,26850,
4096,3200,26901,
4096,3265.31,26950,
